category,url,redirects,title,lt,description,ld,weight,featured,new,product-title,product-description,product-price,feature-age,feature-size,feature-time,related,product-video
stranicy,oblozhka-shlyapa,,Обложка Шляпа для развивающих книжек,36,"Шляпа фокусника - не только яркая аппликация на обложке, но и самостоятельный интерактивный элемент развивающей книжки. В шляпе прячется лиса в костюме зайца. ",159,11,0,0,"Обложка ""Шляпа""","Шляпа фокусника - не только яркая аппликация на обложке, но и самостоятельный интерактивный элемент развивающей книжки. В шляпе прячется лиса в костюме зайца. Лису можно пристегнуть пуговицей на ленту, или использовать как отдельную игрушку.

Лисичку можно заменить на зайчика или любое другое животное.",500,от 2-х лет,21х23 см,1-2 дн,,
stranicy,oblozhka-akula,,Обложка Акула для развивающих книжек,36,Именная обложка с изображением акулы,36,12,0,0,"Обложка ""Акула""",Именная обложка с изображением акулы,500,от 2-х лет,21х23 см,1-2 дн,,
stranicy,oblozhka-mollusk,,Обложка Моллюск для развивающих книжек,38,Именная обложка с изображением моллюска наутилуса.,50,13,0,0,"Обложка ""Моллюск""",Именная обложка с изображением моллюска наутилуса.,500,от 2-х лет,21х23 см,1-2 дн,,
stranicy,oblozhka-na-zakaz,,Обложка на заказ для развивающих книжек,39,"Обложка с аппликацией, при желании - именная",44,14,0,0,Обложка на заказ,"Обложка с аппликацией, при желании - именная",500,от 2-х лет,21х23 см,1-2 дн,,
myagkie-knizhki,myagkaya-kniga-hameleon,,Мягкая книжка из фетра Хамелеон,31,"Развивающая книжка, в которой собраны 4 игры: полянка с дождиком, воздушный транспорт на липучках, домики с птичками и морская страница.",136,1,0,0,"Мягкая книга ""Хамелеон""","Мягкая книжка состоит из 4 игровых страниц - [Дождик](/stranicy/myagkaya-stranica-dozhdik), [Небо](/stranicy/myagkaya-stranica-nebo), [Скворечники](/stranicy/razvorot-skvorechniki), [Море](/stranicy/myagkaya-stranica-more) (подробнее о каждой странице можно узнать в разделе [Страницы](/stranicy))",5700,от 2-х лет,21х23 см,14-21 дн,,https://youtu.be/papFS3s1kr4
myagkie-knizhki,myagkaya-kniga-8-igr,,Мягкая книжка из фетра 8 игр,28,"Развивающая книжка, в которой собраны 8 игр: динозавры, огород, домик с котиками, воздушный транспорт, два крутящихся пазла и морская страница.",143,2,0,0,"Мягкая книга ""8 игр""","Книжка состоит из 8 игр - [Букашки](/stranicy/planshet-bukashki), [Динозавры](/stranicy/planshet-dinozavry), [Огород](/stranicy/razvorot-ogorod), страницы [Коты](/stranicy/myagkaya-stranica-koty), [Небо](/stranicy/myagkaya-stranica-nebo), пазл [Птичка](/razvivayushie-igry/puzzle-ptichka), пазл [Акула](/razvivayushie-igry/puzzle-akula), страница [Море](/stranicy/myagkaya-stranica-more) (подробнее о каждой странице можно узнать в разделах [Страницы](/stranicy/) и [Пазлы](/razvivayushie-igry/))",10300,от 2-х лет,21х23 см,21-28 дн,,https://youtu.be/EqfTrZTxhBo
myagkie-knizhki,myagkaya-kniga-razvoroty,,Мягкая книжка из фетра Развороты,32,"Развивающая книжка, в которой собраны 4 игры: птички в домиках, пальчиковый театр с поездом, динозавры и букашки.",113,3,1,0,"Мягкая книга ""Развороты""","Книжка состоит из 4 игровых разворотов: [Скворечники](/stranicy/razvorot-skvorechniki), [Поезд](/stranicy/razvorot-poezd), [Букашки](/stranicy/planshet-bukashki) и [Динозавры](/stranicy/planshet-dinozavry) (подробнее о каждой странице можно узнать в разделе [Страницы](/stranicy/))",6500,от 2-х лет,21х23 см,18-25 дн,,https://youtu.be/W_7vLSgalKQ
myagkie-knizhki,myagkaya-kniga-nayti-paru,https://kiddy-trick.ru/myagkie-knizhki/myagkaya-knizhka-nayti-paru,Мягкая книжка из фетра Найти пару,33,"Книжка с липучками, где ребенку нужно подобрать подходящую пару к иллюстрациям на страницах. В книге 4 разворота, каждый из которых содержит задачу подобрать пару (подбор по цвету, форме, смыслу) ",196,4,0,0,"Мягкая книга ""Найти пару""","Книжка с липучками, где ребенку нужно подобрать подходящую пару к иллюстрациям на страницах. В книге 4 разворота, каждый из которых содержит задачу подобрать пару (подбор по цвету, форме, смыслу) ",2500,от 2-х лет,21х23 см,14-21 дн,,https://youtu.be/vWpSSP87zV8
myagkie-knizhki,myagkaya-kniga-morskaya,,Мягкая книжка из фетра Морская,30,"Книжка в морской тематике, состоит из 6 игровых страниц: осьминог с перетяжками, игра с подбором деталей, кораблик и морские обитатели, штурвал-шнуровка, пазл ""Акула"" и магнитная рыбалка с удочкой. ",198,5,0,0,"Мягкая книга ""Морская""","Книжка в морской тематике, состоит из 6 игровых страниц: осьминог с ножками-перетяжками, игра с подбором недостающей детали, кораблик и морские обитатели, штурвал-шнуровка на магнитной кнопке, пазл ""Акула"" и магнитная рыбалка с удочкой. ",5800,от 2-х лет,21х23 см,14-21 дн,,https://youtu.be/qst0RXu-G5g
myagkie-knizhki,myagkaya-kniga-lipuchki,,Мягкая разборная книжка из фетра Липучки,40,"Разборная книжка для игры с текстильными липучками. Книжка содержит 5 мини-игр с деталями на липучках. Страницы съемные, крепятся на переплет с помощью металлических кнопок. ",174,6,0,1,"Мягкая разборная книга ""Липучки""","Разборная книжка для игры с текстильными липучками. Книжка содержит 5 мини-игр, с помощью которых малыш сможет изучить цвета радуги, нарядить елку, рассадить птичек по домикам, подобрать букашкам подходящие по цвету листочки и узнать, как выглядят овощи и фрукты внутри. 

Странички крепятся на переплет с помощью металлических кнопок. ",6500,от 2-х лет,25х25 см,10-15 дн,,
myagkie-knizhki,myagkaya-kniga-halloween,https://kiddy-trick.ru/myagkie-knizhki/myagkaya-mini-knizhka-halloween,Мягкая мини-книжка из фетра Хэллоуин,36,"Книжка размером 13х13 см для малышей. Состоит из 6 игровых страничек с перетяжками, шуршалкой, крутилкой, липучкой, молниями и бусиной.",135,7,0,0,"Мини-книжка ""Хэллоуин""","Книжка формата 13х13 см в Хэллоуинской тематике для малышей. Состоит из 6 игровых страничек: флисовое привидение с бусиной, тыква на липучке, паучок с ножками-перетяжками, шуршащие крылья летучей мышки, крутящаяся карамелька и три цветные молнии. На обложку установлено пластиковое зеркало. Съемных деталей нет - все надежно пришиты. С помощью шнурка книжку можно привязать к коляске на прогулке - так она не потеряется.",950,от 6 мес,13х13 см,5-7 дн,,
myagkie-knizhki,myagkaya-kniga-zima,https://kiddy-trick.ru/myagkie-knizhki/myagkaya-mini-knizhka-zima,Мягкая мини-книжка из фетра Зима,32,"Книжка размером 13х13 см для малышей. Состоит из 6 игровых страничек с перетяжками, шуршалкой, крутилкой, липучкой и бусинами.",126,8,0,0,"Мини-книжка ""Зима""","Книжка формата 13х13 см в зимней тематике. Состоит из 6 интерактивных страничек: снежинка с ленточками-перетяжками, колокольчик с пластиковым кольцом, елочка с бусинами под сеткой, елочная игрушка-шуршалка, крутящийся снеговик и подарочная коробка на липучке. На обложку установлено пластиковое зеркало. Съемных деталей нет - все надежно пришиты. С помощью шнурка книжку можно привязать к коляске на прогулке - так она не потеряется.",950,от 6 мес,13х13 см,5-7 дн,,https://youtu.be/79Ht8epHXF4
zhivie-kartochki,vorona,,Карточка из фетра Ворона,24,,0,1,0,0,Ворона,,320,от 1 года ,17х17 см,2-4 дн,,
zhivie-kartochki,hameleon,,Карточка из фетра Хамелеон,26,,0,2,0,0,Хамелеон,,320,от 1 года ,17х17 см,2-4 дн,,
zhivie-kartochki,krysy-s-ponchikom,,Карточка из фетра Крыса с пончиком,34,,0,3,0,0,Крыса с пончиком,,320,от 1 года ,17х17 см,2-4 дн,,
zhivie-kartochki,zmeya,,Карточка из фетра Змея,22,,0,4,0,0,Змея,,320,от 1 года ,17х17 см,2-4 дн,,
zhivie-kartochki,loshadka,,Карточка из фетра Лошадка,25,,0,5,0,0,Лошадка,,320,от 1 года ,17х17 см,2-4 дн,,
zhivie-kartochki,sova,,Карточка из фетра Сова,22,,0,6,0,0,Сова,,320,от 1 года ,17х17 см,2-4 дн,,
zhivie-kartochki,krokodil,,Карточка из фетра Крокодил,26,,0,7,0,0,Крокодил,,320,от 1 года ,17х17 см,2-4 дн,,
zhivie-kartochki,cyplenok,,Карточка из фетра Цыпленок,26,,0,8,0,0,Цыпленок,,320,от 1 года ,17х17 см,2-4 дн,,
zhivie-kartochki,osminog,,Карточка из фетра Осьминог,26,,0,9,0,0,Осьминог,,320,от 1 года ,17х17 см,2-4 дн,,
zhivie-kartochki,sobaka,,Карточка из фетра Собака,24,,0,10,0,0,Собака,,320,от 1 года ,17х17 см,2-4 дн,,
zhivie-kartochki,rybka,,Карточка из фетра Рыбка,23,,0,11,0,0,Рыбка,,320,от 1 года ,17х17 см,2-4 дн,,
zhivie-kartochki,pauchok,,Карточка из фетра Паучок,24,,0,12,0,0,Паучок,,320,от 1 года ,17х17 см,2-4 дн,,
razvivayushie-igry,puzzle-akula,https://kiddy-trick.ru/razvivayushie-igry/pazl-akula,Крутящийся пазл из фетра Акула,30,"Пазл из крутящихся дисков с изображением акулы. Диски несъемные, расположены друг над другом ""пирамидкой"" и закреплены металлической заклепкой. ",144,1,0,0,"Пазл ""Акула""","Пазл из крутящихся дисков с изображением акулы. Диски несъемные, расположены друг над другом ""пирамидкой"" и закреплены металлической заклепкой. ",800,от 2-х лет,21х21 см,3-5 дн,,
razvivayushie-igry,puzzle-robot,,Крутящийся пазл из фетра Робот,30,"Пазл из крутящихся дисков с изображением робота. Диски несъемные, расположены друг над другом ""пирамидкой"" и закреплены металлической заклепкой. ",145,2,0,0,"Пазл ""Робот""","Пазл из крутящихся дисков с изображением робота. Диски несъемные, расположены друг над другом ""пирамидкой"" и закреплены металлической заклепкой. ",1100,от 2-х лет,21х21 см,4-6 дн,,https://youtu.be/7ZNstNFfSKE
razvivayushie-igry,puzzle-ptichka,https://kiddy-trick.ru/razvivayushie-igry/pazl-ptichka,Крутящийся пазл из фетра Птичка,31,"Пазл из крутящихся дисков с изображением птички. Диски несъемные, закреплены металлической заклепкой. ",102,3,0,0,"Пазл ""Птичка""","Пазл из крутящихся дисков с изображением птички. Диски несъемные, закреплены металлической заклепкой. ",800,от 2-х лет,21х21 см,3-5 дн,,
razvivayushie-igry,puzzle-yasherka,https://kiddy-trick.ru/razvivayushie-igry/pazl-yasherka,Крутящийся пазл из фетра Ящерка,31,Пазл состоит из 4 съемных вращающихся дисков. Диски фиксируются к основе магнитными кнопками,92,4,0,0,"Пазл ""Ящерка""",Пазл состоит из 4 съемных вращающихся дисков. Диски фиксируются к основе магнитными кнопками,800,от 2-х лет,21х21 см,3-5 дн,,
razvivayushie-igry,zastezhka-krokodil,https://kiddy-trick.ru/razvivayushie-igry/igrushka-krokodil-zastezhka,Мягкая игрушка с застежками Крокодил,36,"Мягкая игрушка состоит из 5 частей, соединяющихся различными застежками (пуговицы, кнопки, карабины, текстильная липучка, шнуровка). В кармашке на молнии прячется маленький крокодиленок.",186,5,1,0,"Игрушка-застежка ""Крокодил""","Мягкая игрушка состоит из 5 частей, соединяющихся различными застежками. Всего в игрушке 5 видов застежек: пуговицы, кнопки, карабины, текстильная липучка, шнуровка, а также присутствует кармашек на молнии. В кармашке прячется маленький крокодиленок. ",1500,от 2-х лет,78х15 см в собранном виде,5-7 дн,,
razvivayushie-igry,zastezhka-drakon,https://kiddy-trick.ru/razvivayushie-igry/igrushka-kitayskiy-drakon,Мягкая игрушка с застежками Дракон,34,"С мягкой игрушкой в виде дракона можно потренироваться застегивать пуговицы, кнопки, ремешки и фастексы, а также поиграть с липучкой и шнуровкой.",145,6,0,1,"Игрушка-застежка ""Дракон""","С мягкой игрушкой в виде дракона можно потренироваться застегивать пуговицы, кнопки, ремешки и фастексы, а также поиграть с липучкой и шнуровкой.",1500,от 2-х лет,50х30 см в собранном виде,5-7 дн,,
razvivayushie-igry,zastezhka-letuchaya-mysh,https://kiddy-trick.ru/razvivayushie-igry/igrushka-zastezhka-letuchaya-myshka,Мягкая игрушка с застежками Летучая мышь,40,"Мягкая игрушка для изучения застежек. Флисовая летучая мышь соединяется с ""кусочком"" неба фастексами. К диску с помощью пуговицы, магнитной кнопки и шнуровки крепятся звездочка, мышка-малышка и луна.",199,7,0,0,"Игрушка-застежка ""Летучая мышь""","Мягкая игрушка для изучения застежек. Флисовая летучая мышь соединяется с круглым ""кусочком"" неба фастексами. К диску с помощью пуговицы, магнитной кнопки и шнуровки крепятся звездочка, мышка-малышка и луна. ",1100,от 2-х лет,32х30 см в собранном виде и с расправленными крыльями,4-6 дн,,https://youtu.be/sC137eDwFTs
razvivayushie-igry,zastezhka-pautina,https://kiddy-trick.ru/razvivayushie-igry/igrushka-zastezhka-pautinka,Игрушка с застежками Паутина,28,"Игрушка представляет собой паутину-пирамидку, состоящую из 3 частей. Части соединяются текстильной липучкой и пуговицами. Паучок фиксируется на паутине с помощью кнопок, летучая мышка - шнурком.",194,8,0,0,"Игрушка-застежка ""Паутина""","Игрушка представляет собой паутину-пирамидку, состоящую из 3 частей. Части соединяются текстильной липучкой и пуговицами. Пальчиковый паучок фиксируется на паутине с помощью кнопок, летучая мышка - шнурком.",700,от 2-х лет,20х18 см,3-5 дн,,
